"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"800","@saksolaita Quality customer service is waiting for you. DM to discuss our latest plans &amp; promos. *AAS https://t.co/WIafaQNC8b",FALSE,0,"saksolaita",2017-06-25 18:39:50,FALSE,"878474119368527872","879046492518002688","74845731","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"801","@elchapo24k How about making the switch to Unlimited on the best network? DM for details. *AAS https://t.co/yO0vSf8puv",FALSE,0,"elchapo24k",2017-06-25 18:37:32,FALSE,"878471667575660545","879045916048715776","1694501880","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"802","@samjimenez99  Want a better network and wireless experts to answer your questions? DM to learn how to make the swi… https://t.co/otAS5kCnVn",FALSE,0,"samjimenez99",2017-06-25 18:37:00,TRUE,"878471259880701952","879045781155700736","1794712374","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"803","@gabelopezsongs RootMetrics and JD Power agree, we're the best. Unlimited on the best network? DM for details. *AAS https://t.co/8ouuVBtoWE",FALSE,0,"gabelopezsongs",2017-06-25 18:37:00,FALSE,"878470422240444417","879045781025681408","20742385","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"804","@1FineMuvaa It's a great time to get into a device and network you enjoy. DM to learn about our promotions. *AAS https://t.co/LBMkgmmfup",FALSE,0,"1FineMuvaa",2017-06-25 18:35:29,FALSE,"878465038293622785","879045399742382080","302660190","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"805","@jude_scout Oh my! That's not what we want to hear. Please follow and DM so we could further assist. ^BAB",FALSE,1,"jude_scout",2017-06-25 18:34:02,FALSE,"879044384343371776","879045034846425090","751098716984078336","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"806","@Caleb_IsArt @EL_7VEN Send us a DM to discuss device options on the better network! *AAS https://t.co/8lG5tWbb6S",FALSE,0,"Caleb_IsArt",2017-06-25 18:20:29,FALSE,"878459631898677252","879041625569316864","266353324","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"807","@wallyppp We'd be happy to discuss upgrading your phone and network. DM to start the conversation. *AAS https://t.co/IuRJRDU6Xz",FALSE,0,"wallyppp",2017-06-25 18:19:52,FALSE,"878458460509261824","879041467267854336","310990630","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"808","@rcsejin Let's upgrade your service and your phone. DM for information on how to make the switch. *AAS https://t.co/RNLXmhorRM",FALSE,0,"rcsejin",2017-06-25 18:19:52,FALSE,"878459309809475585","879041467150462976","4734446712","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"809","@the_realbrandi How about unlimited on the best network? DM us for details. *AAS https://t.co/weBaXup59Y",FALSE,0,"the_realbrandi",2017-06-25 18:19:00,FALSE,"878456789934755840","879041248711110657","1551575958","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
